3.06,5.64
2.76,4.38
3.24,5.68
3.49,7.8
2.69,4.32
3.39,6.75
2.52,5.25
2.51,5.05
2.98,5.2
3.15,7.22
3.32,5.75
2.43,5
2.76,5.6
3.69,5.4
3.64,7.5
2.91,7.3
3.14,6.2
3.4,6.6
3.93,8.7
3.03,5.1
3.17,5.65
2.41,4.5
2.88,3.8
2.37,3.93
2.61,3.52
2.68,3.58
2.94,4.8
2.19,3.95
2.97,4.5
2.33,4.7
3.25,5.7
3.19,6.9
2.69,3.84
2.74,5.4
2.53,4.2
2.98,5.1
2.68,4.6
2.43,4.25
2.64,3.7
3.04,5.1
3.29,6.13
2.68,4.28
3.56,5.43
2.63,4.36
3,5.04
2.65,5.24
3.17,4.9
3.39,6.1
2.92,6.2
3.54,8.9
3.27,7.2
2.99,5.6
3.74,7.05
2.79,6.3
2.9,5.85
2.78,6.25
3,6.38
3.23,6
3.67,6.8
0.57,1.95
1.09,3.27
1.41,5.75
1.79,3.8
3.1,4.45
1.75,2.95
2.65,4.6
3.18,5.3
2,4.68
1.3,3.17
1.28,2.85
1.02,3.05
2.86,3.38
1.84,3.74
2.89,3.35
2.14,3.21
1.57,3.8
2.03,4.6
1.32,2.65
1.85,3.4
2.55,2.57
2.26,2.5
2.53,3.9
1.58,2.2
1.59,4.8
2.21,3.05
1.94,2.62
1.69,2.45
1.61,2.6
1.69,2.8
1.59,1.74
1.5,2.4
1.25,3.6
1.46,3.05
2.25,2.15
2.26,3.25
2.27,2.6
0.99,2.5
2.5,2.9
3.75,4.5
2.99,2.3
2.17,3.3
1.36,2.45
2.11,2.8
1.64,2.06
1.92,2.94
1.84,2.7
2.03,3.4
1.76,3.3
2.04,2.7
2.92,2.65
2.58,2.9
2.27,2
2.03,3.8
2.01,3.08
2.29,2.9
2.17,1.9
1.6,1.95
2.09,2.06
1.25,3.4
1.64,1.28
2.79,3.25
5.08,6
2.13,2.08
2.65,2.6
3.03,2.8
2.65,2.76
3.15,3.94
2.24,3
2.45,2.12
1.75,2.6
1.25,4.1
1.22,5.4
1.09,5.7
1.2,5
0.58,5.45
0.66,7.1
0.47,3.85
0.6,5
0.48,5.7
0.6,4.92
0.5,4.6
0.5,5.6
0.52,4.35
0.8,4.4
0.78,8.21
0.55,4
0.34,4.9
0.65,7.65
0.76,8.42
1.39,9.4
1.57,8.6
1.36,10.8
1.28,7.1
0.83,10.52
0.58,7.6
0.63,7.9
0.83,9.01
0.58,7.5
1.31,13
1.1,11.75
0.92,7.65
0.56,5.88
0.6,5.58
0.7,5.28
0.68,9.58
0.47,6.62
0.92,10.68
0.66,10.26
0.84,8.66
0.96,8.5
0.49,5.5
0.51,9.899999
0.7,9.7
0.61,7.7
0.75,7.3
0.69,10.2
0.68,9.3
0.76,9.2
